"","Cruise","Event","Net","Date","Year","ID","Species.Code","Item","Stomach","Prey","Count","Total.Mass.(g)","Prey.Mass.(g)","Prey.Type","Standard.length.(mm)","Period","Comments","a_discovery","b_discovery","weight_discovery_g","log10_PPMR_discovery","Lat","Lon","coordinate.source","SST","temp_depth","CHL","ID_unique","fish_mass_log10","location_group"
"2876","JR161",159,2,"2006-11-17",2006,50,"ELN",1,NA,"Pteropoda indet",1,0.022,0.022,NA,76,"Night",NA,3.72072876694056e-06,3.27156788257353,5.29465118347276,2.38141467284075,-57.27877,-42.7514,"cruise report",-0.866804996877909,1.06589558422565,0.186303917566935,"JR161_159_ELN_50",0.723837353662958,5
"2877","JR161",56,2,"2006-10-30",2006,28,"KRA",1,NA,"Thysanoessa spp",17,0.121,0.00711764705882353,NA,56,"Night",NA,9.04580928796673e-06,3.01806749596662,1.70842881762812,2.3802604395198,-57.76618,-50.54229,"cruise report",-0.839826634526253,1.56705833896995,0.167751779655615,"JR161_56_KRA_28",0.232596888457971,1
"2878","JR161",283,2,"2006-11-28",2006,48,"KRA",2,NA,"Calanus simillimus",1,0.003,0.003,NA,42,"Day",NA,9.04580928796673e-06,3.01806749596662,0.717006922226459,2.37840209379366,-49.99484,-37.98122,"cruise report",3.3937009960413,2.07903685346246,0.319176879525185,"JR161_283_KRA_48",-0.144476651486675,8
"2879","JR161",275,1,"2006-11-28",2006,47,"PRM",1,NA,"Rhincalanus gigas",3,0.007,0.00233333333333333,NA,35,"Night",NA,1.9799489503369e-05,2.87584615102016,0.545954104161298,2.3691793498144,-50.10324,-38.12951,"cruise report",3.62510454207659,2.08008669018745,0.340349668761094,"JR161_275_PRM_47",-0.262843864891006,8
"2880","JR161",43,2,"2006-10-29",2006,24,"PRE",3,NA,"Pleuromamma robusta",2,0.008,0.004,NA,44,"Night",NA,1.38590959090681e-05,2.93843325689031,0.935213787711472,2.36885090960904,-57.53066,-50.50526,"cruise report",-0.642872381955385,1.64806667044759,0.144116734713316,"JR161_43_PRE_24",-0.029089099062993,1
"2881","JR161",275,1,"2006-11-28",2006,95,"PRM",2,NA,"Rhincalanus gigas",2,0.003,0.0015,NA,30,"Night",NA,1.9799489503369e-05,2.87584615102016,0.350451132549157,2.36853620877096,-50.10324,-38.12951,"cruise report",3.62510454207659,2.08008669018745,0.340349668761094,"JR161_275_PRM_95",-0.455372532173361,8
"2882","JR161",56,2,"2006-10-30",2006,101,"PRM",1,NA,"Thysanoessa spp",1,0.004,0.004,NA,42,"Night",NA,1.9799489503369e-05,2.87584615102016,0.922293646307691,2.36280922546007,-57.76618,-50.54229,"cruise report",-0.839826634526253,1.56705833896995,0.167751779655615,"JR161_56_PRM_101",-0.0351307832119635,1
"2883","JR161",43,1,"2006-10-29",2006,62,"PRM",1,NA,"Rhincalanus gigas",2,0.006,0.003,NA,38,"Night",NA,1.9799489503369e-05,2.87584615102016,0.691621632460418,2.3627473139066,-57.53066,-50.50526,"cruise report",-0.642872381955385,1.64806667044759,0.144116734713316,"JR161_43_PRM_62",-0.160131431373733,1
"2884","JR161",275,2,"2006-11-28",2006,49,"ELN",1,NA,"Eucalanus",1,0.002,0.002,NA,36,"Night",NA,3.72072876694056e-06,3.27156788257353,0.45938550643408,2.36114729346452,-50.10324,-38.12951,"cruise report",3.62510454207659,2.08008669018745,0.340349668761094,"JR161_275_ELN_49",-0.337822710871502,8
"2885","JR161",214,2,"2006-11-21",2006,74,"PRE",4,NA,"Thysanoessa spp",5,0.028,0.0056,NA,49,"Night",NA,1.38590959090681e-05,2.93843325689031,1.28310817636797,2.36007524543982,-55.24562,-41.15184,"cruise report",1.6879360511899,2.03533434793353,0.170823061466217,"JR161_214_PRE_74",0.108263272446023,6
