"","Cruise","Event","Year","Fish_Species_Code","Prey","Prey_Count","Mean_Prey_Mass__g_","Fish_Mass_g_","Lat","Lon","SST","location_group","fish_mass_log10","log_10_fish_class_bin","Statistical.Fish.ID.mass","Statistical_Fish_ID_mass","n_prey_items","ID_Pred_new"
"873","JR161",214,2006,"ELC","Rhincalanus gigas",36,0.00298,4.48522661861233,-55.24562,-41.15184,1.6879360511899,6,0.651784390908862,0.675,"ELC_6_0.675g","ELC_6_0.675g",41,11
"874","JR161",214,2006,"ELC","Rhincalanus gigas",19,0.00413,6.1648293805574,-55.24562,-41.15184,1.6879360511899,6,0.789921061449543,0.775,"ELC_6_0.775g","ELC_6_0.775g",115,13
"875","JR161",56,2006,"ELC","Rhincalanus gigas",2,0.0055,8.21090741284872,-57.76618,-50.54229,-0.839826634526253,1,0.914391155002079,0.925,"ELC_1_0.925g","ELC_1_0.925g",6,4
"876","JR161",275,2006,"KRA","Calanoides acutus",91,0.000516,0.769777971357519,-50.10324,-38.12951,3.62510454207659,8,-0.113634521215914,-0.125,"KRA_8_-0.125g","KRA_8_-0.125g",15,126
"877","JR161",273,2006,"KRA","Ctenocalanus spp",43,0.000233,0.346278072505666,-49.96331,-37.96272,3.48906523436308,8,-0.460575008569797,-0.475,"KRA_8_-0.475g","KRA_8_-0.475g",6,129
"878","JR161",43,2006,"PRE","Metridia spp",19,0.000632,0.935213787711472,-57.53066,-50.50526,-0.642872381955385,1,-0.029089099062993,-0.025,"PRE_1_-0.025g","PRE_1_-0.025g",19,138
"879","JR161",201,2006,"ELC","Rhincalanus gigas",1,0.005,7.39851104143699,-55.2144,-41.56429,1.52443008497357,6,0.869144326277936,0.875,"ELC_6_0.875g","ELC_6_0.875g",116,15
"880","JR161",201,2006,"ELC","Rhincalanus gigas",2,0.005,7.39851104143699,-55.2144,-41.56429,1.52443008497357,6,0.869144326277936,0.875,"ELC_6_0.875g","ELC_6_0.875g",116,15
"881","JR161",201,2006,"ELC","Rhincalanus gigas",5,0.005,7.39851104143699,-55.2144,-41.56429,1.52443008497357,6,0.869144326277936,0.875,"ELC_6_0.875g","ELC_6_0.875g",116,15
"882","JR161",214,2006,"ELC","Rhincalanus gigas",1,0.005,7.39851104143699,-55.24562,-41.15184,1.6879360511899,6,0.869144326277936,0.875,"ELC_6_0.875g","ELC_6_0.875g",116,15
"883","JR161",214,2006,"ELC","Rhincalanus gigas",2,0.005,7.39851104143699,-55.24562,-41.15184,1.6879360511899,6,0.869144326277936,0.875,"ELC_6_0.875g","ELC_6_0.875g",116,15
"884","JR161",214,2006,"ELC","Rhincalanus gigas",1,0.005,7.39851104143699,-55.24562,-41.15184,1.6879360511899,6,0.869144326277936,0.875,"ELC_6_0.875g","ELC_6_0.875g",116,15
"885","JR161",214,2006,"ELC","Rhincalanus gigas",5,0.005,7.39851104143699,-55.24562,-41.15184,1.6879360511899,6,0.869144326277936,0.875,"ELC_6_0.875g","ELC_6_0.875g",116,15
"888","JR161",218,2006,"KRA","Clausocalanus spp",3,0.000333,0.489086953231024,-55.31128,-41.37365,1.44347058311105,6,-0.310613922162047,-0.325,"KRA_6_-0.325g","KRA_6_-0.325g",8,115
"889","JR161",159,2006,"GYR","Rhincalanus gigas",1,0.007,10.2660220640182,-57.27877,-42.7514,-0.866804996877909,5,1.01140219332344,1.025,"GYR_5_1.025g","GYR_5_1.025g",7,94
"890","JR161",43,2006,"ELC","Rhincalanus gigas",4,0.00375,5.49387362535334,-57.53066,-50.50526,-0.642872381955385,1,0.739878665196859,0.725,"ELC_1_0.725g","ELC_1_0.725g",17,1
"891","JR161",214,2006,"ELC","Rhincalanus gigas",9,0.00378,5.49387362535334,-55.24562,-41.15184,1.6879360511899,6,0.739878665196859,0.725,"ELC_6_0.725g","ELC_6_0.725g",75,12
"892","JR161",275,2006,"PRM","Calanus propinquus",4,0.00125,1.8005538549384,-50.10324,-38.12951,3.62510454207659,8,0.255406115739397,0.275,"PRM_8_0.275g","PRM_8_0.275g",17,156
"893","JR161",56,2006,"PRM","Metridia spp",2,0.001,1.43680517674727,-57.76618,-50.54229,-0.839826634526253,1,0.157397884070392,0.175,"PRM_1_0.175g","PRM_1_0.175g",12,141
"894","JR161",267,2006,"PRM","Metridia spp",2,0.001,1.43680517674727,-52.8061,-40.00328,1.53429366722703,7,0.157397884070392,0.175,"PRM_7_0.175g","PRM_7_0.175g",7,151
"895","JR161",275,2006,"PRM","Metridia spp",1,0.001,1.43680517674727,-50.10324,-38.12951,3.62510454207659,8,0.157397884070392,0.175,"PRM_8_0.175g","PRM_8_0.175g",12,155
"896","JR161",275,2006,"PRM","Eucalanus",1,0.001,1.43680517674727,-50.10324,-38.12951,3.62510454207659,8,0.157397884070392,0.175,"PRM_8_0.175g","PRM_8_0.175g",12,155
"897","JR161",136,2006,"ELN","Pteropoda indet",1,0.002,2.86610939976429,-59.5633,-44.26847,-1.54875940158963,4,0.457292763453921,0.475,"ELN_4_0.475g","ELN_4_0.475g",12,37
"898","JR161",214,2006,"GYN","Candacia spp",1,0.025,35.7060752471845,-55.24562,-41.15184,1.6879360511899,6,1.55274211588404,1.575,"GYN_6_1.575g","GYN_6_1.575g",7,71
"899","JR161",214,2006,"ELC","Paraeuchaeta spp",1,0.005,7.13992091443283,-55.24562,-41.15184,1.6879360511899,6,0.853693401325805,0.875,"ELC_6_0.875g","ELC_6_0.875g",116,15
"900","JR161",214,2006,"ELC","Eucalanus",2,0.005,7.13992091443283,-55.24562,-41.15184,1.6879360511899,6,0.853693401325805,0.875,"ELC_6_0.875g","ELC_6_0.875g",116,15
