"","Fish_no","zoo_mean","zoo_sd","fish_mean","fish_sd","pref_mean","pref_sd","sst_mean","species","fish_size_class"
"16",16,-4.08110870964042,0.579726090992902,-2.91836485674672,0.526737795545893,-2.46910354721648,0.616490712318563,1.38421584516764,"ELC",0.775
"17",17,-4.27396182008082,0.352180251159922,-2.47723881275509,0.846828124712392,-1.54941754760045,0.647131272680326,1.05239419564605,"ELN",0.625
"18",18,-4.27396182008082,0.352180251159922,-2.36592100484037,0.839182108170282,-0.847848854733487,0.615739842956506,1.05239419564605,"ELN",0.725
"19",19,-4.3913487616074,0.277192905889306,-2.07990811423492,0.721274131951495,-1.49449408037069,0.426521514156359,1.62370069250465,"ELN",0.625
"20",20,-4.3913487616074,0.277192905889306,-1.74306017853808,0.817004884593375,-1.25077229259009,0.241071976110716,1.61897468332733,"ELN",0.775
"21",21,-4.3913487616074,0.277192905889306,-1.22527466420004,0.682856946876583,-0.574099390050954,0.305526453043477,1.61340461937445,"ELN",0.825
"22",22,-4.1932624216533,0.492397653566805,-2.33345023522419,0.739434149785233,-1.560760570906,0.399711079290801,3.30549029633403,"ELN",0.375
"23",23,-4.32139380550386,0.410798100739766,-1.6384386693371,0.625161932778651,-1.37410534637356,0.213972791202521,3.67382835969329,"ELN",0.525
"24",24,-4.32139380550386,0.410798100739766,-1.86069289545319,0.728549084502674,-1.34747693106546,0.330895414236405,3.68654963704093,"ELN",0.625
"25",25,-4.32139380550386,0.410798100739766,-1.37218858286561,0.527421018634208,-1.19606439307647,0.136852456095579,3.70619425624609,"ELN",0.725
"26",26,-4.32139380550386,0.410798100739766,-2.07774747466551,0.664939695740946,-1.25728424589196,0.473991351258232,3.73175888497915,"ELN",1.025
"27",27,-4.20007734971729,0.478351405161129,-2.40857442542798,0.777611335513741,-1.3880644821099,0.362525123060529,4.20815456137061,"ELN",0.975
"28",28,-4.30198306782899,0.395282167183659,-2.12537705784811,0.507256295379749,-1.91691076779068,0.331422349241275,-1.8521866299212,"ELN",0.125
"29",29,-4.30198306782899,0.395282167183659,-2.09869909107703,0.89037622036385,-1.29998387119913,0.555415466972249,-1.85282141491771,"ELN",0.975
"30",30,-3.69814824370907,0.668436950347143,-2.61589741861921,0.409402936862906,-2.497346655575,0.368491420165008,5.15198219195008,"ELN",0.325
"31",31,-4.26728886079889,0.503580059794342,-2.42842845593637,0.616809674114246,-2.04160646619744,0.524699281168408,-1.86987515799701,"ELN",0.775
"32",32,-4.26728886079889,0.503580059794342,-3.37766931887688,0.696066616829434,-1.6267179405066,1.13655204748881,-1.86935023963451,"ELN",0.825
"33",33,-4.3018634905071,0.434127199945491,-2.56984529399112,0.249743917088961,-2.4940088781913,0.297339309097384,-1.54875940158963,"ELN",0.075
